scenario,seed,expected_status,actual_status,correct,expects_enhancement,used_enhancement,enhancement_correct,trace_steps,latency_ms,metric_focus_variance,metric_illumination_cv,metric_saturation_fraction,metric_edge_density,metric_foreground_fraction,metric_object_count
blurred,4,request_recapture_focus,request_recapture_focus,True,False,False,True,1,50.35,0.7112655581440777,0.020826736338305278,0.0,0.0,0.049106597900390625,41
blurred,5,request_recapture_focus,request_recapture_focus,True,False,False,True,1,49.809,0.7310714693157934,0.020102020326079852,0.0,0.0,0.04991912841796875,41
blurred,6,request_recapture_focus,request_recapture_focus,True,False,False,True,1,39.951,0.7608413625857793,0.01773751958702165,0.0,0.0,0.054290771484375,42
blurred,7,request_recapture_focus,request_recapture_focus,True,False,False,True,1,50.951,0.766059871762991,0.02665029727824741,0.0,0.0,0.054962158203125,42
blurred,8,request_recapture_focus,request_recapture_focus,True,False,False,True,1,50.343,0.8045501706656069,0.027896183129236907,0.0,0.0,0.06011199951171875,42
blurred,9,request_recapture_focus,request_recapture_focus,True,False,False,True,1,38.432,0.7275924654095434,0.023516661168609197,0.0,0.0,0.052959442138671875,36
blurred,10,request_recapture_focus,request_recapture_focus,True,False,False,True,1,51.596,0.6739845275733387,0.023924396372048434,0.0,0.0,0.0454254150390625,33
blurred,11,request_recapture_focus,request_recapture_focus,True,False,False,True,1,87.395,0.8268432468175888,0.02331102144940439,0.0,0.0,0.0633392333984375,43
blurred,12,request_recapture_focus,request_recapture_focus,True,False,False,True,1,77.888,0.7572975067741936,0.024739942784833963,0.0,0.0,0.055583953857421875,41
blurred,13,request_recapture_focus,request_recapture_focus,True,False,False,True,1,45.626,0.7827072134241462,0.023543257238573027,0.0,0.0,0.05834197998046875,40
blurred,14,request_recapture_focus,request_recapture_focus,True,False,False,True,1,52.783,0.733566279464867,0.026754541312279587,0.0,0.0,0.052211761474609375,41
blurred,15,request_recapture_focus,request_recapture_focus,True,False,False,True,1,62.517,0.7156295739114285,0.018478264797330647,0.0,0.0,0.04773712158203125,39
blurred,16,request_recapture_focus,request_recapture_focus,True,False,False,True,1,73.83,0.7349433846393367,0.02435843486552913,0.0,0.0,0.051937103271484375,38
blurred,17,request_recapture_focus,request_recapture_focus,True,False,False,True,1,44.02,0.7464065537205897,0.02247349522614961,0.0,0.0,0.051517486572265625,39
blurred,18,request_recapture_focus,request_recapture_focus,True,False,False,True,1,38.772,0.780670166015625,0.02165008993603821,0.0,0.0,0.055767059326171875,41
blurred,19,request_recapture_focus,request_recapture_focus,True,False,False,True,1,47.788,0.70267868040537,0.024953699989993288,0.0,0.0,0.048625946044921875,38
blurred,20,request_recapture_focus,request_recapture_focus,True,False,False,True,1,41.793,0.7761878808814799,0.022827960179364108,0.0,0.0,0.0551300048828125,40
blurred,21,request_recapture_focus,request_recapture_focus,True,False,False,True,1,38.898,0.8083496065228246,0.02645011676493095,0.0,0.0,0.056865692138671875,40
blurred,22,request_recapture_focus,request_recapture_focus,True,False,False,True,1,44.016,0.7415122953098034,0.020390580127170484,0.0,0.0,0.05080413818359375,42
blurred,23,request_recapture_focus,request_recapture_focus,True,False,False,True,1,49.4,0.7170486379764043,0.02053805919487394,0.0,0.0,0.04815673828125,40
blurred,24,request_recapture_focus,request_recapture_focus,True,False,False,True,1,44.385,0.7173271177889546,0.022179760559177933,0.0,0.0,0.0496673583984375,34
uneven,0,accept,accept,True,True,True,True,2,82.895,2724.3491094633355,0.1552057011796896,3.814697265625e-06,0.15866470336914062,0.048503875732421875,43
uneven,1,accept,accept,True,True,True,True,2,94.023,2759.2256314121187,0.15808297466113702,0.0,0.15810012817382812,0.05043792724609375,38
uneven,2,accept,accept,True,True,True,True,2,86.879,2697.9053936649434,0.1570916313429578,7.62939453125e-06,0.15616226196289062,0.04302978515625,35
uneven,3,accept,accept,True,True,True,True,2,100.141,2752.0694589519408,0.15229197782958306,0.0,0.16174697875976562,0.045989990234375,43
uneven,4,accept,accept,True,True,True,True,2,93.417,2693.258372804601,0.1556550764330895,0.0,0.1518707275390625,0.043243408203125,42
uneven,5,accept,accept,True,True,True,True,2,89.535,2711.346436105887,0.15540060642132678,3.814697265625e-06,0.16246795654296875,0.04218292236328125,43
uneven,6,accept,accept,True,True,True,True,2,79.693,2708.5387536277995,0.15850979384976044,0.0,0.16416168212890625,0.046489715576171875,43
uneven,7,accept,accept,True,True,True,True,2,117.793,2781.964623420834,0.15819075984376713,0.0,0.15686798095703125,0.048809051513671875,43
uneven,8,accept,accept,True,True,True,True,2,87.848,2834.305542853137,0.15233307249874448,0.0,0.15791702270507812,0.052516937255859375,42
uneven,9,accept,accept,True,True,True,True,2,91.771,2683.761489859782,0.15199263958660225,0.0,0.1537628173828125,0.0471649169921875,38
uneven,10,accept,accept,True,True,True,True,2,86.982,2711.676307141781,0.15789226361814196,0.0,0.16155624389648438,0.041584014892578125,37
uneven,11,accept,accept,True,True,True,True,2,82.277,2858.885150078204,0.1484742404942942,0.0,0.15419769287109375,0.05448150634765625,44
uneven,12,accept,accept,True,True,True,True,2,87.152,2790.2693657372,0.1491310830311288,0.0,0.15660476684570312,0.051616668701171875,41
uneven,13,accept,accept,True,True,True,True,2,107.435,2768.912145464681,0.15484880901397774,0.0,0.15536880493164062,0.052692413330078125,43
uneven,14,accept,accept,True,True,True,True,2,100.421,2773.386604196392,0.15292543031417558,0.0,0.15977859497070312,0.047504425048828125,41
uneven,15,accept,accept,True,True,True,True,2,83.863,2698.2911860877502,0.15534218958024262,0.0,0.16065597534179688,0.04209136962890625,39
uneven,16,accept,accept,True,True,True,True,2,99.368,2700.244669787353,0.15757025735688612,0.0,0.15451812744140625,0.04534149169921875,38
uneven,17,accept,accept,True,True,True,True,2,89.862,2722.0751591803855,0.15774810257933608,0.0,0.15619659423828125,0.043392181396484375,39
uneven,18,accept,accept,True,True,True,True,2,91.327,2805.2970543796546,0.15480811062277003,0.0,0.15497970581054688,0.049449920654296875,41
uneven,19,accept,accept,True,True,True,True,2,81.808,2741.552959321998,0.1574192999751102,0.0,0.15883255004882812,0.044567108154296875,39
uneven,20,accept,accept,True,True,True,True,2,90.095,2801.5438543462515,0.15467687955820295,0.0,0.15900802612304688,0.046077728271484375,41
uneven,21,accept,accept,True,True,True,True,2,89.861,2811.7857126245362,0.15696200858038245,0.0,0.15843963623046875,0.0496063232421875,40
uneven,22,accept,accept,True,True,True,True,2,88.968,2681.1141382716596,0.15525888452130546,0.0,0.16060638427734375,0.044719696044921875,42
uneven,23,accept,accept,True,True,True,True,2,90.131,2657.3883341689943,0.1574627618293629,0.0,0.15828704833984375,0.0416717529296875,43
uneven,24,accept,accept,True,True,True,True,2,93.836,2711.511026198452,0.15715086487399194,0.0,0.16094589233398438,0.04486846923828125,35
clipped,0,request_recapture_exposure,request_recapture_exposure,True,False,False,True,1,46.218,707.945128824038,0.13021130455950863,0.16796875,0.013973236083984375,0.07007217407226562,35
clipped,1,request_recapture_exposure,request_recapture_exposure,True,False,False,True,1,42.896,682.3056143170543,0.12954421942030608,0.16796875,0.013031005859375,0.06746292114257812,30
clipped,2,request_recapture_exposure,request_recapture_exposure,True,False,False,True,1,46.565,657.8998779790563,0.12655261995722406,0.16796875,0.012542724609375,0.06189727783203125,30
clipped,3,request_recapture_exposure,request_recapture_exposure,True,False,False,True,1,51.032,737.4914638440678,0.13020621905792062,0.16796875,0.014362335205078125,0.07034683227539062,40
clipped,4,request_recapture_exposure,request_recapture_exposure,True,False,False,True,1,45.06,694.5655517345294,0.1288468697513196,0.16796875,0.013721466064453125,0.06591415405273438,38
clipped,5,request_recapture_exposure,request_recapture_exposure,True,False,False,True,1,52.972,690.2218163870275,0.12987581203713158,0.16796875,0.0131378173828125,0.06719589233398438,37
clipped,6,request_recapture_exposure,request_recapture_exposure,True,False,False,True,1,49.752,695.9961461720522,0.12776715554702323,0.16796875,0.014286041259765625,0.07027435302734375,35
clipped,7,request_recapture_exposure,request_recapture_exposure,True,False,False,True,1,52.902,704.5907180770155,0.12818020455946233,0.16796875,0.013446807861328125,0.0677032470703125,32
clipped,8,request_recapture_exposure,request_recapture_exposure,True,False,False,True,1,44.464,781.5363149642944,0.1324728668192948,0.16796875,0.01450347900390625,0.07225418090820312,36
clipped,9,request_recapture_exposure,request_recapture_exposure,True,False,False,True,1,38.372,743.2007597991615,0.1338075978637897,0.16796875,0.01500701904296875,0.07523727416992188,34
clipped,10,request_recapture_exposure,request_recapture_exposure,True,False,False,True,1,48.303,665.5955695999874,0.1291879790488221,0.16796875,0.01328277587890625,0.06662750244140625,31
clipped,11,request_recapture_exposure,request_recapture_exposure,True,False,False,True,1,41.614,825.6743430951465,0.13406940695839434,0.16796875,0.014801025390625,0.073333740234375,37
clipped,12,request_recapture_exposure,request_recapture_exposure,True,False,False,True,1,43.889,722.1736409774603,0.13443736213985347,0.16796875,0.015594482421875,0.07844161987304688,37
clipped,13,request_recapture_exposure,request_recapture_exposure,True,False,False,True,1,44.747,779.0434188814252,0.13230245759801249,0.16796875,0.015625,0.07612991333007812,38
clipped,14,request_recapture_exposure,request_recapture_exposure,True,False,False,True,1,51.016,672.0170244518522,0.13222596865319686,0.16796875,0.013622283935546875,0.070220947265625,36
clipped,15,request_recapture_exposure,request_recapture_exposure,True,False,False,True,1,58.33,654.0652235364541,0.12873614280240933,0.16796875,0.0131988525390625,0.06619644165039062,34
clipped,16,request_recapture_exposure,request_recapture_exposure,True,False,False,True,1,38.228,763.4192161542451,0.13116263750438686,0.16796875,0.014774322509765625,0.07094573974609375,35
clipped,17,request_recapture_exposure,request_recapture_exposure,True,False,False,True,1,39.792,694.1842954717577,0.12991370418919712,0.16796875,0.012859344482421875,0.06650543212890625,34
clipped,18,request_recapture_exposure,request_recapture_exposure,True,False,False,True,1,40.955,747.7150408219895,0.1312019697049793,0.16796875,0.01412200927734375,0.07079315185546875,36
clipped,19,request_recapture_exposure,request_recapture_exposure,True,False,False,True,1,38.6,676.0467755076825,0.12990839051940223,0.16796875,0.013195037841796875,0.06695175170898438,31
clipped,20,request_recapture_exposure,request_recapture_exposure,True,False,False,True,1,46.281,757.0896183852892,0.13108617217037888,0.16796875,0.013561248779296875,0.06946182250976562,34
clipped,21,request_recapture_exposure,request_recapture_exposure,True,False,False,True,1,43.716,762.512267842656,0.12990022883564156,0.16796875,0.013576507568359375,0.06719589233398438,31
clipped,22,request_recapture_exposure,request_recapture_exposure,True,False,False,True,1,41.156,662.1407537756022,0.12981222731428596,0.16796875,0.0127105712890625,0.06792068481445312,35
clipped,23,request_recapture_exposure,request_recapture_exposure,True,False,False,True,1,47.588,691.6692079503409,0.12947876830226332,0.16796875,0.0133819580078125,0.06795501708984375,37
clipped,24,request_recapture_exposure,request_recapture_exposure,True,False,False,True,1,46.094,688.4084584982484,0.13074090013764922,0.16796875,0.013156890869140625,0.06662750244140625,31
